SMSA70,,STATE,COUNTY,,,,msaLABEL
40,,,,,,,"Abilene, TX SMSA"
40,,48,253,,,,Jones County
40,,48,441,,,,Taylor County
,,,,,,,
80,,,,,,,"Akron, OH SMSA"
80,,39,133,,,,Portage County
80,,39,153,,,,Summit County
,,,,,,,
120,,,,,,,"Albany, GA SMSA"
120,,13,95,,,,Dougherty County
,,,,,,,
160,,,,,,,"Albany-Schenectady-Troy, NY SMSA"
160,,36,1,,,,Albany County
160,,36,83,,,,Rensselaer County
160,,36,91,,,,Saratoga County
160,,36,93,,,,Schenectady County
,,,,,,,
200,,,,,,,"Albuquerque, NM SMSA"
200,,35,1,,,,Bernalillo County
,,,,,,,
240,,,,,,,"Allentown-Bethlehem-Easton, PA-NJ SMSA"
240,,34,41,,,,"Warren County, NJ"
240,,42,77,,,,"Lehigh County, PA"
240,,42,95,,,,"Northampton County, PA"
,,,,,,,
280,,,,,,,"Altoona, PA SMSA"
280,,42,13,,,,Blair County
,,,,,,,
320,,,,,,,"Amarillo, TX SMSA"
320,,48,375,,,,Potter County
320,,48,381,,,,Randall County
,,,,,,,
360,,,,,,,"Anaheim-Santa Ana-Garden Grove, CA SMSA"
360,,6,59,,,,Orange County
,,,,,,,
400,,,,,,,"Anderson, IN SMSA"
400,,18,95,,,,Madison County
,,,,,,,
440,,,,,,,"Ann Arbor, MI SMSA"
440,,26,161,,,,Washtenaw County
,,,,,,,
460,,,,,,,"Appleton-Oshkosh, WI SMSA"
460,,55,15,,,,Calumet County
460,,55,87,,,,Outagamie County
460,,55,139,,,,Winnebago County
,,,,,,,
480,,,,,,,"Asheville, NC SMSA"
480,,37,21,,,,Buncombe County
,,,,,,,
520,,,,,,,"Atlanta, GA SMSA"
520,,13,63,,,,Clayton County
520,,13,67,,,,Cobb County
520,,13,89,,,,De Kalb County
520,,13,121,,,,Fulton County
520,,13,135,,,,Gwinnett County
,,,,,,,
560,,,,,,,"Atlantic City, NJ SMSA"
560,,34,1,,,,Atlantic County
,,,,,,,
600,,,,,,,"Augusta, GA-SC SMSA"
600,,13,245,,,,"Richmond County, GA"
600,,45,3,,,,"Aiken County, SC"
,,,,,,,
640,,,,,,,"Austin, TX SMSA"
640,,48,453,,,,Travis County
,,,,,,,
680,,,,,,,"Bakersfield, CA SMSA"
680,,6,29,,,,Kern County
,,,,,,,
720,,,,,,,"Baltimore, MD SMSA"
720,,24,3,,,,Anne Arundel County
720,,24,510,,,,Baltimore city
720,,24,5,,,,Baltimore County
720,,24,13,,,,Carroll County
720,,24,25,,,,Harford County
720,,24,27,,,,Howard County
,,,,,,,
760,,,,,,,"Baton Rouge, LA SMSA"
760,,22,33,,,,East Baton Rouge Parish
,,,,,,,
800,,,,,,,"Bay City, MI SMSA"
800,,26,17,,,,Bay County
,,,,,,,
840,,,,,,,"Beaumont-Port Arthur-Orange, TX SMSA"
840,,48,245,,,,Jefferson County
840,,48,361,,,,Orange County
,,,,,,,
880,,,,,,,"Billings, MT SMSA"
880,,30,111,,,,Yellowstone County
,,,,,,,
920,,,,,,,"Biloxi-Gulfport, MS SMSA"
920,,28,47,,,,Harrison County
,,,,,,,
960,,,,,,,"Binghamton, NY-PA SMSA"
960,,36,7,,,,"Broome County, NY"
960,,36,107,,,,"Tioga County, NY"
960,,42,115,,,,"Susquehanna County, PA"
,,,,,,,
1000,,,,,,,"Birmingham, AL SMSA"
1000,,1,73,,,,Jefferson County
1000,,1,117,,,,Shelby County
1000,,1,127,,,,Walker County
,,,,,,,
1040,,,,,,,"Bloomington-Normal, IL SMSA"
1040,,17,113,,,,McLean County
,,,,,,,
1080,,,,,,,"Boise City, ID SMSA"
1080,,16,1,,,,Ada County
,,,,,,,
1120,,,,,,,"Boston, MA SMSA"
1120,,25,9,,,,Essex County (pt.)
1120,,25,9,,5595,,Beverly city
1120,,25,9,,16250,,Danvers town
1120,,25,9,,27900,,Hamilton town
1120,,25,9,,37490,,Lynn city
1120,,25,9,,37560,,Lynnfield town
1120,,25,9,,37945,,Manchester town
1120,,25,9,,38400,,Marblehead town
1120,,25,9,,41095,,Middleton town
1120,,25,9,,43580,,Nahant town
1120,,25,9,,52490,,Peabody city
1120,,25,9,,59105,,Salem city
1120,,25,9,,60015,,Saugus town
1120,,25,9,,68645,,Swampscott town
1120,,25,9,,70150,,Topsfield town
1120,,25,9,,74595,,Wenham town
1120,,25,17,,,,Middlesex County (pt.)
1120,,25,17,,1605,,Arlington town
1120,,25,17,,2130,,Ashland town
1120,,25,17,,4615,,Bedford town
1120,,25,17,,5070,,Belmont town
1120,,25,17,,9840,,Burlington town
1120,,25,17,,11000,,Cambridge city
1120,,25,17,,15060,,Concord town
