STATE,COUNTY,PLACE,COUSUB,MSA70,MSA80,MSA90,MSA00,CBSA,NEWENG,CBSA_D_1970,CBSA_D_1980,CBSA_D_1990,CBSA_D_2000,tpopm1970,tpopm1980,tpopm1990,tpopm2000,tpopm2010,MSA00_D_2000,MSA90_D_1990,MSA80_D_1980,MSA70_D_1970,nMSA70,nMSA80,nMSA90,nMSA00,nCBSA
9,1,31520,33620,8040,8040,8040,8040,14860,TRUE,0.6886753147509486,0.6973098899650175,0.6874253748582572,0.6777727305956596,657892,792854,813767,867989,916829,0.6323989202434451,0.6584039292214038,0.6804047237415564,0.6686537210923126,11,11,11,18,38
9,1,NA,33620,8040,8040,8040,8040,14860,TRUE,0.6886753147509486,0.6973098899650175,0.6874253748582572,0.6777727305956596,657892,792854,813767,867989,916829,0.6323989202434451,0.6584039292214038,0.6804047237415564,0.6686537210923126,11,11,11,18,38
9,1,17520,33620,8040,8040,8040,8040,14860,TRUE,0.6886753147509486,0.6973098899650175,0.6874253748582572,0.6777727305956596,657892,792854,813767,867989,916829,0.6323989202434451,0.6584039292214038,0.6804047237415564,0.6686537210923126,11,11,11,18,38
9,1,33690,33620,8040,8040,8040,8040,14860,TRUE,0.6886753147509486,0.6973098899650175,0.6874253748582572,0.6777727305956596,657892,792854,813767,867989,916829,0.6323989202434451,0.6584039292214038,0.6804047237415564,0.6686537210923126,11,11,11,18,38
9,1,59210,33620,8040,8040,8040,8040,14860,TRUE,0.6886753147509486,0.6973098899650175,0.6874253748582572,0.6777727305956596,657892,792854,813767,867989,916829,0.6323989202434451,0.6584039292214038,0.6804047237415564,0.6686537210923126,11,11,11,18,38
9,1,64530,33620,8040,8040,8040,8040,14860,TRUE,0.6886753147509486,0.6973098899650175,0.6874253748582572,0.6777727305956596,657892,792854,813767,867989,916829,0.6323989202434451,0.6584039292214038,0.6804047237415564,0.6686537210923126,11,11,11,18,38
9,1,56900,33620,8040,8040,8040,8040,14860,TRUE,0.6886753147509486,0.6973098899650175,0.6874253748582572,0.6777727305956596,657892,792854,813767,867989,916829,0.6323989202434451,0.6584039292214038,0.6804047237415564,0.6686537210923126,11,11,11,18,38
9,1,10660,33620,8040,8040,8040,8040,14860,TRUE,0.6886753147509486,0.6973098899650175,0.6874253748582572,0.6777727305956596,657892,792854,813767,867989,916829,0.6323989202434451,0.6584039292214038,0.6804047237415564,0.6686537210923126,11,11,11,18,38
9,1,73000,73070,8040,8040,8040,8040,14860,TRUE,0.6886753147509486,0.6973098899650175,0.6874253748582572,0.6777727305956596,657892,792854,813767,867989,916829,0.6323989202434451,0.6584039292214038,0.6804047237415564,0.6686537210923126,11,11,11,18,38
9,1,18920,18850,8040,8040,8040,8040,14860,TRUE,0.6886753147509486,0.6973098899650175,0.6874253748582572,0.6777727305956596,657892,792854,813767,867989,916829,0.6323989202434451,0.6584039292214038,0.6804047237415564,0.6686537210923126,11,11,11,18,38
